,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
10,1039459,"Dunlop, Hugh",SCS2,Director of Finance,Director of Finance,Department for Business Innovation and Skills,Medical Research Council ,MRC Head Office,01793 416200,corporate@headoffice.mrc.ac.uk,1039455,369812.0,1.0,100000,104999,0,Finance,,1
11,1039471,"Savill, John",SCS2,Chief Executive,Chief Executive,Department for Business Innovation and Skills,Medical Research Council ,MRC Head Office,01793 416200,corporate@headoffice.mrc.ac.uk,XX,1190938.0,0.8,150000,154999,0,Science and Engineering,,1
12,1039489,"Smith, Ted",SCS2,Director of Human Resources,Director of Human Resources,Department for Business Innovation and Skills,Medical Research Council ,MRC Head Office,01793 416200,corporate@headoffice.mrc.ac.uk,1039455,713905.0,1.0,140000,144999,0,Human Resources,,1
13,1039519,"Peatfield, Anthony",SCS2,Director of Corporate Affairs Group,Director of Corporate Affairs Group,Department for Business Innovation and Skills,Medical Research Council ,MRC Head Office,01793 416200,corporate@headoffice.mrc.ac.uk,1039455,1165715.08,1.0,95000,99999,0,Communications,,1
14,1039545,"Mulkeen, Declan",SCS2,Chief Science Officer,Director of Research Programmes Group,Department for Business Innovation and Skills,Medical Research Council ,MRC Head Office,01793 416200,corporate@headoffice.mrc.ac.uk,1039471,3001100.66,1.0,95000,99999,0,Science and Engineering,,1
15,1039548,"Ewart, Wendy",SCS2,Chief Strategy Officer,Director of Strategy,Department for Business Innovation and Skills,Medical Research Council ,MRC Head Office,01793 416200,corporate@headoffice.mrc.ac.uk,1039471,795315.0,1.0,115000,119999,0,Planning,,1
16,1039615,"Palmer, Alan",SCS1,Scientific Director,Scientific Director of Institute of Hearing Research,Department for Business Innovation and Skills,Medical Research Council ,Institute of Hearing Research (IHR),01793 416200,corporate@headoffice.mrc.ac.uk,1039471,1422352.72,1.0,0,0,0,Science and Engineering,Salaries of MRC band 2 staff (not SCS staff) are not disclosed,1
17,1039640,N/D,SCS1,Scientific Programme Leader,Scientific Programme Leader of MRC International Nutrition Group,Department for Business Innovation and Skills,Medical Research Council ,MRC International Nutrition Group,01793 416200,corporate@headoffice.mrc.ac.uk,1039795,398041.0,1.0,0,0,0,Science and Engineering,Salaries of MRC band 2 staff (not SCS staff) are not disclosed,1
18,1039679,"Pelham, Hugh",SCS2,Scientific Director,Scientific Director of MRC Laboratory of Molecular Biology,Department for Business Innovation and Skills,Medical Research Council ,MRC Laboratory of Molecular Biology (LMB),01793 416200,corporate@headoffice.mrc.ac.uk,1039471,16405984.2736,1.0,130000,134999,0,Science and Engineering,,1
19,1039795,"Kilpatrick, Michael",SCS1,Regional Lead,Director of MRC Regional Centre London,Department for Business Innovation and Skills,Medical Research Council ,MRC Regional Centre London & Oxford,01793 416200,corporate@headoffice.mrc.ac.uk,1039455,1897225.7464,1.0,105000,109999,0,Operational Delivery,,1
20,1039854,"Brown, Stephen ",SCS2,Scientific Director,Scientific Director of MRC Mammalian Genetics Unit ,Department for Business Innovation and Skills,Medical Research Council ,MRC Mammalian Genetics Unit (MGU),01793 416200,corporate@headoffice.mrc.ac.uk,1039471,2399615.27,1.0,115000,119999,0,Science and Engineering,,1
21,1039964,N/D,SCS1,Scientific Lead,Scientific Lead for MRC Mary Lyon Centre,Department for Business Innovation and Skills,Medical Research Council ,MRC Mary Lyon Centre,01793 416200,corporate@headoffice.mrc.ac.uk,1039455,3287504.32,1.0,0,0,0,Science and Engineering,Salaries of MRC band 2 staff (not SCS staff) are not disclosed,1
22,1040163,"Smith, James",SCS2,Scientific Director,Scientific Director - MRC National Institute for Medical Research,Department for Business Innovation and Skills,Medical Research Council ,MRC National Institute for Medical Research (NIMR),01793 416200,corporate@headoffice.mrc.ac.uk,1039471,19353763.704,1.0,145000,149999,0,Science and Engineering,,1
23,1040240,N/D,SCS1,Administrative Director,Lead for Centre for Macaques,Department for Business Innovation and Skills,Medical Research Council ,MRC Centre for Macaques (CFM),01793 416200,corporate@headoffice.mrc.ac.uk,1039519,258854.5,0.8,0,0,0,Operational Delivery,Salaries of MRC band 2 staff (not SCS staff) are not disclosed,1
24,1040359,"Collinge, John",SCS2,Scientific Director (Non-MRC employee),Scientific Director of MRC Prion Unit,Department for Business Innovation and Skills,Medical Research Council ,MRC Prion Unit,01793 416200,corporate@headoffice.mrc.ac.uk,1039471,2806852.28,1.0,0,0,0,Science and Engineering,NON-MRC EMPLOYEE - EMPLOYED BY UNIVERSITY COLLEGE LONDON,1
25,1040380,"Phillips, Simon",SCS2,Scientific Director,Scientific Director of MRC Research Centre at Harwell,Department for Business Innovation and Skills,Medical Research Council ,MRC Research Centre at Harwell,01793 416200,corporate@headoffice.mrc.ac.uk,1039455,449710.0,1.0,95000,99999,0,Science and Engineering,,1
26,1040565,"Willis, Anne",SCS2,Scientific Director,Scientific Director of MRC Toxicology Unit,Department for Business Innovation and Skills,Medical Research Council ,MRC Toxicology Unit,01793 416200,corporate@headoffice.mrc.ac.uk,1039471,3442777.0,1.0,95000,99999,0,Science and Engineering,,1
27,1040577,N/D,SCS2,Scientific Director,Scientific Director of MRC/UVRI Uganda research Unit on AIDS,Department for Business Innovation and Skills,Medical Research Council ,MRC/UVRI Uganda research Unit on AIDS,01793 416200,corporate@headoffice.mrc.ac.uk,1039471,430449.0,1.0,0,0,0,Science and Engineering,Name/details withheld for security reasons,1
28,1044117,"Zeviani, Massimo",SCS2,Scientific Director,Scientific Director of MRC Mitochondrial Biology Unit,Department for Business Innovation and Skills,Medical Research Council ,MRC Mitochondrial Biology Unit (MBU),01793 416200,corporate@headoffice.mrc.ac.uk,1039471,2054511.02,1.0,0,0,0,Science and Engineering,NON-MRC EMPLOYEE - EMPLOYED BY CAMBRIDGE UNIVERSITY,1
29,1050767,"Robinson, Vicky",SCS2,Scientific Director,Scientific Director of NC3Rs,Department for Business Innovation and Skills,Medical Research Council ,"National Centre for the Replacement, Refinement and Reduction of Animals in Research",01793 416200,corporate@headoffice.mrc.ac.uk,1039471,717432.72,1.0,90000,94999,0,Science and Engineering,,1
30,1056451,N/D,SCS2,Director of IT,Director of IT,Department for Business Innovation and Skills,Medical Research Council ,MRC Head Office,01793 416200,corporate@headoffice.mrc.ac.uk,1039455,798209.0,1.0,75000,79999,0,Information Technology,Objection to disclosure,1
